#,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
64,21,42,-249,24,20,-18
65,21,41,-249,24,20,-16
66,21,41,-249,24,20,-16
67,21,41,-249,22,20,-18
68,21,41,-249,20,18,-18
69,22,41,-249,18,18,-16
70,22,41,-249,20,14,-18
71,22,41,-249,22,14,-16
72,21,41,-249,22,16,-16
73,22,41,-249,14,18,-16
74,22,41,-249,14,18,-16
75,22,41,-249,6,20,-18
76,22,41,-249,4,20,-18
77,22,41,-249,-2,22,-20
78,22,41,-249,0,24,-20
79,23,41,-249,0,22,-20
80,23,41,-249,0,24,-20
81,23,41,-249,0,24,-20
82,23,41,-249,-2,26,-20
83,23,41,-249,-8,32,-20
84,23,42,-250,-58,54,-4
85,26,44,-248,-98,56,16
86,27,46,-248,-58,36,12
87,27,47,-248,-16,14,0
88,27,48,-248,0,10,0
89,27,49,-248,20,4,0
90,27,48,-248,16,6,-4
91,27,48,-248,18,8,-4
92,27,48,-248,16,10,-6
93,27,48,-248,22,10,-10
94,27,48,-248,18,14,-12
95,27,48,-248,38,-10,6
96,27,48,-248,20,16,-6
97,28,48,-248,8,16,-12
98,28,48,-248,-2,22,-10
99,28,49,-248,-64,48,-4
100,29,51,-247,-114,78,2
101,30,54,-247,-158,96,0
102,31,57,-246,-176,96,-8
103,33,60,-245,-138,82,-6
104,34,63,-244,-88,58,-8
105,35,64,-245,-52,44,-8
106,35,65,-245,-32,32,-14
107,35,66,-245,-18,32,-14
108,35,66,-245,-8,30,-14
109,35,66,-245,0,26,-16
110,35,67,-245,0,26,-18
111,35,67,-245,-20,30,-18
112,35,68,-244,-50,38,-16
113,36,70,-243,-58,38,-20
114,36,72,-242,-38,34,-18
115,37,73,-242,-12,26,-22
116,37,73,-241,46,16,-20
117,37,72,-242,64,8,-24
118,37,71,-243,42,12,-22
119,37,72,-242,126,-10,-26
120,36,68,-243,152,-20,-34
121,35,66,-244,142,-14,-30
122,35,64,-245,-14,24,-26
123,35,66,-244,-146,60,-40
124,36,69,-243,-76,62,-32
125,34,73,-248,-146,122,-36
126,40,76,-247,-184,224,-132
127,41,78,-244,-262,226,-264
128,43,84,-234,42,98,-286
129,39,79,-234,308,-112,-264
130,34,73,-242,10,-114,-218
131,34,87,-233,-676,24,-210
132,33,99,-226,32,-72,-166
133,29,88,-231,174,-98,-122
134,27,91,-230,-420,16,-116
135,26,96,-229,-6,-56,-104
136,23,97,-230,-80,-44,-92
137,23,102,-229,-94,-18,-86
138,21,103,-229,-48,-14,-74
139,20,105,-229,-44,-2,-62
140,20,107,-228,-58,16,-56
141,20,109,-227,-56,24,-46
142,19,111,-228,-84,28,-44
143,19,112,-228,-102,34,-44
144,18,115,-226,-102,26,-50
145,17,117,-225,-94,8,-58
146,17,119,-225,-84,2,-54
147,17,121,-225,-50,2,-30
148,17,121,-224,-30,14,-16
149,16,122,-224,-38,14,-26
150,16,123,-221,-24,-16,-26
151,14,124,-220,-66,-62,-56
152,12,126,-221,-96,-88,-84
153,10,129,-221,-96,-92,-76
154,7,129,-222,-48,-96,-72
155,5,131,-221,-38,-104,-68
156,2,132,-221,-18,-82,-58
157,0,133,-220,-8,-54,-30
158,-1,133,-220,-6,-24,10
159,0,133,-219,-34,0,26
160,0,135,-217,8,12,40
161,1,133,-217,58,40,36
162,3,132,-217,30,72,-12
163,4,134,-216,36,92,-38
164,6,135,-217,26,94,-38
165,7,135,-217,44,64,-24
166,9,135,-218,18,60,-20
167,10,135,-217,8,68,-8
168,12,135,-217,2,70,-16
169,13,135,-217,12,74,-20
170,14,135,-217,20,84,-24
171,14,134,-217,12,80,-40
172,14,135,-216,10,70,-44
173,14,135,-217,4,62,-38
174,14,135,-217,2,56,-38
175,14,135,-217,-4,52,-38
176,14,136,-217,-12,48,-36
177,14,136,-217,-12,44,-38
178,14,137,-217,-4,36,-32
179,14,137,-216,-2,34,-30
180,14,137,-216,0,30,-28
181,14,138,-216,8,24,-24
182,14,138,-216,16,16,-24
183,14,138,-216,18,14,-24
184,14,138,-216,20,12,-24
185,14,138,-216,16,14,-26
186,14,138,-216,18,16,-24
187,14,138,-216,14,20,-20
188,14,138,-216,12,16,-20
189,14,138,-216,12,14,-20
190,14,138,-216,14,12,-20
191,14,138,-216,20,12,-20
